
Current theta : [ 0 , 0 , 0 ] 


t	x[0]	x[1]	P	theta[0]	theta[1]	theta[2]
0	0.99	-1.01	1.41428	1.41428	0	0	0
1	0.9799	-1.0201	1.4145	2.82878	0	0	0
2	0.969699	-1.03031	1.41487	4.24365	0	0	0
3	0.959396	-1.04062	1.41539	5.65904	0	0	0
4	0.94899	-1.05104	1.41607	7.07511	0	0	0
5	0.938479	-1.06157	1.41693	8.49204	0	0	0
6	0.927864	-1.07223	1.41796	9.91	0	0	0
7	0.917141	-1.083	1.41916	11.3292	0	0	0
8	0.906311	-1.09389	1.42056	12.7497	0	0	0
9	0.895373	-1.1049	1.42215	14.1719	0	0	0
10	0.884323	-1.11605	1.42394	15.5958	0	0	0
11	0.873163	-1.12732	1.42593	17.0217	0	0	0
12	0.86189	-1.13873	1.42814	18.4499	0	0	0
13	0.850502	-1.15028	1.43056	19.8804	0	0	0
14	0.839	-1.16197	1.43321	21.3136	0	0	0
15	0.82738	-1.1738	1.43609	22.7497	0	0	0
16	0.815642	-1.18578	1.43921	24.1889	0	0	0
17	0.803784	-1.1979	1.44258	25.6315	0	0	0
18	0.791805	-1.21018	1.4462	27.0777	0	0	0
19	0.779703	-1.22261	1.45007	28.5278	0	0	0
20	0.767477	-1.2352	1.45422	29.982	0	0	0
21	0.755125	-1.24795	1.45863	31.4406	0	0	0
22	0.742646	-1.26087	1.46332	32.904	0	0	0
23	0.730037	-1.27395	1.4683	34.3723	0	0	0
24	0.717298	-1.2872	1.47357	35.8458	0	0	0
25	0.704426	-1.30062	1.47913	37.325	0	0	0
26	0.691419	-1.31422	1.485	38.81	0	0	0
27	0.678277	-1.32799	1.49118	40.3011	0	0	0
28	0.664997	-1.34194	1.49768	41.7988	0	0	0
29	0.651578	-1.35608	1.5045	43.3033	0	0	0
30	0.638017	-1.3704	1.51164	44.815	0	0	0
31	0.624313	-1.3849	1.51912	46.3341	0	0	0
32	0.610464	-1.3996	1.52694	47.861	0	0	0
33	0.596468	-1.41448	1.5351	49.3961	0	0	0
34	0.582323	-1.42956	1.54361	50.9397	0	0	0
35	0.568028	-1.44483	1.55248	52.4922	0	0	0
36	0.553579	-1.4603	1.56171	54.0539	0	0	0
37	0.538976	-1.47596	1.57129	55.6252	0	0	0
38	0.524217	-1.49182	1.58125	57.2065	0	0	0
39	0.509298	-1.50789	1.59157	58.798	0	0	0
40	0.49422	-1.52415	1.60227	60.4003	0	0	0
41	0.478978	-1.54061	1.61335	62.0136	0	0	0
42	0.463572	-1.55727	1.6248	63.6385	0	0	0
43	0.447999	-1.57413	1.63664	65.2751	0	0	0
44	0.432258	-1.59119	1.64886	66.9239	0	0	0
45	0.416346	-1.60845	1.66146	68.5854	0	0	0
46	0.400262	-1.62591	1.67446	70.2599	0	0	0
47	0.384002	-1.64357	1.68783	71.9477	0	0	0
48	0.367567	-1.66142	1.7016	73.6493	0	0	0
49	0.350953	-1.67947	1.71574	75.365	0	0	0
50	0.334158	-1.6977	1.73028	77.0953	0	0	0
51	0.317181	-1.71613	1.74519	78.8405	0	0	0
52	0.30002	-1.73473	1.76049	80.601	0	0	0
53	0.282672	-1.75352	1.77616	82.3772	0	0	0
54	0.265137	-1.77248	1.7922	84.1694	0	0	0
55	0.247412	-1.79161	1.80861	85.978	0	0	0
56	0.229496	-1.8109	1.82539	87.8034	0	0	0
57	0.211387	-1.83035	1.84252	89.6459	0	0	0
58	0.193084	-1.84995	1.86	91.5059	0	0	0
59	0.174584	-1.86969	1.87783	93.3837	0	0	0
60	0.155887	-1.88957	1.89599	95.2797	0	0	0
61	0.136991	-1.90956	1.91447	97.1942	0	0	0
62	0.117896	-1.92967	1.93327	99.1274	0	0	0
63	0.0985992	-1.94988	1.95237	101.08	0	0	0
64	0.0791004	-1.97017	1.97176	103.052	0	0	0
65	0.0593987	-1.99054	1.99143	105.043	0	0	0
66	0.0394933	-2.01097	2.01136	107.054	0	0	0
67	0.0193836	-2.03144	2.03154	109.086	0	0	0
68	-0.000930862	-2.05194	2.05194	111.138	0	0	0
69	-0.0214503	-2.07245	2.07257	113.21	0	0	0
70	-0.0421748	-2.09295	2.09338	115.304	0	0	0
71	-0.0631044	-2.11343	2.11437	117.418	0	0	0
72	-0.0842386	-2.13384	2.13551	119.554	0	0	0
73	-0.105577	-2.15419	2.15677	121.71	0	0	0
74	-0.127119	-2.17443	2.17815	123.889	0	0	0
75	-0.148863	-2.19456	2.1996	126.088	0	0	0
76	-0.170809	-2.21453	2.2211	128.309	0	0	0
77	-0.192954	-2.23432	2.24263	130.552	0	0	0
78	-0.215297	-2.2539	2.26416	132.816	0	0	0
79	-0.237836	-2.27324	2.28565	135.102	0	0	0
80	-0.260569	-2.29231	2.30707	137.409	0	0	0
81	-0.283492	-2.31107	2.32839	139.737	0	0	0
82	-0.306603	-2.32949	2.34958	142.087	0	0	0
83	-0.329897	-2.34753	2.37059	144.457	0	0	0
84	-0.353373	-2.36515	2.3914	146.849	0	0	0
85	-0.377024	-2.38231	2.41196	149.261	0	0	0
86	-0.400847	-2.39898	2.43224	151.693	0	0	0
87	-0.424837	-2.41511	2.45219	154.145	0	0	0
88	-0.448988	-2.43065	2.47177	156.617	0	0	0
89	-0.473295	-2.44557	2.49095	159.108	0	0	0
90	-0.49775	-2.45981	2.50967	161.618	0	0	0
91	-0.522349	-2.47334	2.52789	164.145	0	0	0
92	-0.547082	-2.4861	2.54558	166.691	0	0	0
93	-0.571943	-2.49805	2.56269	169.254	0	0	0
94	-0.596923	-2.50914	2.57917	171.833	0	0	0
95	-0.622015	-2.51932	2.59497	174.428	0	0	0
96	-0.647208	-2.52855	2.61006	177.038	0	0	0
97	-0.672493	-2.53677	2.62439	179.662	0	0	0
98	-0.697861	-2.54394	2.63792	182.3	0	0	0
99	-0.7233	-2.55001	2.65061	184.951	0	0	0


t	x[0]	x[1]	P	theta[0]	theta[1]	theta[2]
0	0.99	-1.00999	1.41428	1.41428	0.001	0	0
1	0.9799	-1.02008	1.41449	2.82876	0.001	0	0
2	0.969699	-1.03028	1.41484	4.24361	0.001	0	0
3	0.959397	-1.04058	1.41536	5.65897	0.001	0	0
4	0.948991	-1.05099	1.41604	7.07501	0.001	0	0
5	0.938481	-1.06152	1.41688	8.49189	0.001	0	0
6	0.927866	-1.07216	1.41791	9.9098	0.001	0	0
7	0.917144	-1.08292	1.41911	11.3289	0.001	0	0
8	0.906315	-1.0938	1.42049	12.7494	0.001	0	0
9	0.895377	-1.10481	1.42208	14.1715	0.001	0	0
10	0.884329	-1.11594	1.42386	15.5953	0.001	0	0
11	0.873169	-1.12721	1.42584	17.0212	0.001	0	0
12	0.861897	-1.13861	1.42804	18.4492	0.001	0	0
13	0.850511	-1.15015	1.43046	19.8797	0.001	0	0
14	0.83901	-1.16183	1.4331	21.3128	0.001	0	0
15	0.827391	-1.17365	1.43598	22.7488	0.001	0	0
16	0.815655	-1.18562	1.43909	24.1878	0.001	0	0
17	0.803799	-1.19773	1.44245	25.6303	0.001	0	0
18	0.791821	-1.21	1.44606	27.0763	0.001	0	0
19	0.779721	-1.22243	1.44993	28.5263	0.001	0	0
20	0.767497	-1.23501	1.45406	29.9803	0.001	0	0
21	0.755147	-1.24775	1.45847	31.4388	0.001	0	0
22	0.74267	-1.26066	1.46315	32.902	0.001	0	0
23	0.730063	-1.27373	1.46812	34.3701	0.001	0	0
24	0.717326	-1.28697	1.47338	35.8435	0.001	0	0
25	0.704456	-1.30038	1.47894	37.3224	0.001	0	0
26	0.691452	-1.31397	1.4848	38.8072	0.001	0	0
27	0.678312	-1.32774	1.49097	40.2982	0.001	0	0
28	0.665035	-1.34168	1.49746	41.7956	0.001	0	0
29	0.651618	-1.35581	1.50427	43.2999	0.001	0	0
30	0.63806	-1.37012	1.51141	44.8113	0.001	0	0
31	0.624359	-1.38462	1.51888	46.3302	0.001	0	0
32	0.610513	-1.3993	1.52669	47.8569	0.001	0	0
33	0.59652	-1.41418	1.53484	49.3917	0.001	0	0
34	0.582378	-1.42925	1.54335	50.9351	0.001	0	0
35	0.568086	-1.44451	1.5522	52.4873	0.001	0	0
36	0.55364	-1.45997	1.56142	54.0487	0.001	0	0
37	0.539041	-1.47563	1.571	55.6197	0.001	0	0
38	0.524284	-1.49148	1.58094	57.2006	0.001	0	0
39	0.50937	-1.50753	1.59126	58.7919	0.001	0	0
40	0.494294	-1.52378	1.60195	60.3938	0.001	0	0
41	0.479057	-1.54024	1.61302	62.0068	0.001	0	0
42	0.463654	-1.55689	1.62446	63.6313	0.001	0	0
43	0.448085	-1.57374	1.63629	65.2676	0.001	0	0
44	0.432348	-1.5908	1.6485	66.9161	0.001	0	0
45	0.41644	-1.60805	1.6611	68.5772	0.001	0	0
46	0.400359	-1.6255	1.67408	70.2513	0.001	0	0
47	0.384104	-1.64315	1.68745	71.9387	0.001	0	0
48	0.367673	-1.661	1.7012	73.6399	0.001	0	0
49	0.351063	-1.67904	1.71534	75.3553	0.001	0	0
50	0.334272	-1.69726	1.72987	77.0851	0.001	0	0
51	0.3173	-1.71568	1.74477	78.8299	0.001	0	0
52	0.300143	-1.73428	1.76006	80.59	0.001	0	0
53	0.2828	-1.75306	1.77572	82.3657	0.001	0	0
54	0.26527	-1.77201	1.79176	84.1575	0.001	0	0
55	0.24755	-1.79113	1.80816	85.9656	0.001	0	0
56	0.229638	-1.81042	1.82493	87.7905	0.001	0	0
57	0.211534	-1.82986	1.84205	89.6326	0.001	0	0
58	0.193235	-1.84946	1.85952	91.4921	0.001	0	0
59	0.174741	-1.86919	1.87734	93.3695	0.001	0	0
60	0.156049	-1.88906	1.89549	95.265	0.001	0	0
61	0.137158	-1.90905	1.91397	97.1789	0.001	0	0
62	0.118068	-1.92915	1.93276	99.1117	0.001	0	0
63	0.0987763	-1.94935	1.95185	101.064	0.001	0	0
64	0.0792828	-1.96964	1.97124	103.035	0.001	0	0
65	0.0595863	-1.99001	1.9909	105.026	0.001	0	0
66	0.0396863	-2.01043	2.01082	107.036	0.001	0	0
67	0.019582	-2.0309	2.03099	109.067	0.001	0	0
68	-0.000727028	-2.0514	2.0514	111.119	0.001	0	0
69	-0.021241	-2.0719	2.07201	113.191	0.001	0	0
70	-0.04196	-2.0924	2.09282	115.284	0.001	0	0
71	-0.062884	-2.11287	2.1138	117.398	0.001	0	0
72	-0.0840127	-2.13329	2.13494	119.532	0.001	0	0
73	-0.105346	-2.15363	2.1562	121.689	0.001	0	0
74	-0.126882	-2.17387	2.17757	123.866	0.001	0	0
75	-0.148621	-2.194	2.19902	126.065	0.001	0	0
76	-0.170561	-2.21397	2.22053	128.286	0.001	0	0
77	-0.1927	-2.23376	2.24205	130.528	0.001	0	0
78	-0.215038	-2.25334	2.26358	132.791	0.001	0	0
79	-0.237571	-2.27268	2.28507	135.076	0.001	0	0
80	-0.260298	-2.29175	2.30649	137.383	0.001	0	0
81	-0.283216	-2.31052	2.32781	139.711	0.001	0	0
82	-0.306321	-2.32894	2.349	142.06	0.001	0	0
83	-0.32961	-2.34699	2.37002	144.43	0.001	0	0
84	-0.35308	-2.36461	2.39083	146.821	0.001	0	0
85	-0.376726	-2.38178	2.41139	149.232	0.001	0	0
86	-0.400544	-2.39846	2.43167	151.664	0.001	0	0
87	-0.424529	-2.41459	2.45163	154.115	0.001	0	0
88	-0.448675	-2.43015	2.47122	156.587	0.001	0	0
89	-0.472976	-2.44507	2.4904	159.077	0.001	0	0
90	-0.497427	-2.45933	2.50913	161.586	0.001	0	0
91	-0.52202	-2.47287	2.52737	164.113	0.001	0	0
92	-0.546749	-2.48564	2.54506	166.659	0.001	0	0
93	-0.571605	-2.49761	2.56218	169.221	0.001	0	0
94	-0.596581	-2.50871	2.57867	171.799	0.001	0	0
95	-0.621668	-2.51891	2.59449	174.394	0.001	0	0
96	-0.646857	-2.52815	2.6096	177.003	0.001	0	0
97	-0.672139	-2.5364	2.62394	179.627	0.001	0	0
98	-0.697503	-2.54359	2.63749	182.265	0.001	0	0
99	-0.722939	-2.54968	2.65019	184.915	0.001	0	0


t	x[0]	x[1]	P	theta[0]	theta[1]	theta[2]
0	0.99	-1.01001	1.41429	1.41429	0	0.001	0
1	0.9799	-1.02012	1.41451	2.82881	0	0.001	0
2	0.969699	-1.03034	1.41489	4.24369	0	0.001	0
3	0.959395	-1.04066	1.41542	5.65911	0	0.001	0
4	0.948989	-1.05109	1.41611	7.07522	0	0.001	0
5	0.938478	-1.06164	1.41697	8.4922	0	0.001	0
6	0.927861	-1.0723	1.41801	9.91021	0	0.001	0
7	0.917138	-1.08308	1.41923	11.3294	0	0.001	0
8	0.906308	-1.09398	1.42063	12.7501	0	0.001	0
9	0.895368	-1.10501	1.42223	14.1723	0	0.001	0
10	0.884318	-1.11617	1.42402	15.5963	0	0.001	0
11	0.873156	-1.12745	1.42603	17.0223	0	0.001	0
12	0.861882	-1.13887	1.42824	18.4506	0	0.001	0
13	0.850493	-1.15043	1.43068	19.8813	0	0.001	0
14	0.838989	-1.16213	1.43334	21.3146	0	0.001	0
15	0.827367	-1.17397	1.43623	22.7508	0	0.001	0
16	0.815627	-1.18596	1.43936	24.1902	0	0.001	0
17	0.803768	-1.1981	1.44274	25.6329	0	0.001	0
18	0.791787	-1.21039	1.44637	27.0793	0	0.001	0
19	0.779683	-1.22284	1.45025	28.5295	0	0.001	0
20	0.767455	-1.23544	1.45441	29.9839	0	0.001	0
21	0.7551	-1.24821	1.45883	31.4428	0	0.001	0
22	0.742618	-1.26114	1.46354	32.9063	0	0.001	0
23	0.730007	-1.27423	1.46853	34.3748	0	0.001	0
24	0.717264	-1.28749	1.47381	35.8487	0	0.001	0
25	0.704389	-1.30093	1.47939	37.328	0	0.001	0
26	0.69138	-1.31454	1.48527	38.8133	0	0.001	0
27	0.678235	-1.32833	1.49146	40.3048	0	0.001	0
28	0.664951	-1.3423	1.49798	41.8028	0	0.001	0
29	0.651528	-1.35645	1.50481	43.3076	0	0.001	0
30	0.637964	-1.37079	1.51197	44.8195	0	0.001	0
31	0.624256	-1.38531	1.51947	46.339	0	0.001	0
32	0.610403	-1.40002	1.5273	47.8663	0	0.001	0
33	0.596403	-1.41492	1.53548	49.4018	0	0.001	0
34	0.582253	-1.43002	1.54401	50.9458	0	0.001	0
35	0.567953	-1.44531	1.55289	52.4987	0	0.001	0
36	0.5535	-1.46079	1.56214	54.0608	0	0.001	0
37	0.538892	-1.47647	1.57174	55.6326	0	0.001	0
38	0.524128	-1.49235	1.58172	57.2143	0	0.001	0
39	0.509204	-1.50843	1.59206	58.8063	0	0.001	0
40	0.49412	-1.52471	1.60278	60.4091	0	0.001	0
41	0.478873	-1.54119	1.61388	62.023	0	0.001	0
42	0.463461	-1.55788	1.62535	63.6484	0	0.001	0
43	0.447882	-1.57476	1.63721	65.2856	0	0.001	0
44	0.432134	-1.59184	1.64945	66.935	0	0.001	0
45	0.416216	-1.60913	1.66208	68.5971	0	0.001	0
46	0.400125	-1.62661	1.6751	70.2722	0	0.001	0
47	0.383859	-1.64429	1.6885	71.9607	0	0.001	0
48	0.367416	-1.66216	1.70229	73.663	0	0.001	0
49	0.350794	-1.68023	1.71646	75.3794	0	0.001	0
50	0.333992	-1.69849	1.73102	77.1105	0	0.001	0
51	0.317007	-1.71694	1.74596	78.8564	0	0.001	0
52	0.299838	-1.73557	1.76128	80.6177	0	0.001	0
53	0.282482	-1.75438	1.77698	82.3947	0	0.001	0
54	0.264938	-1.77337	1.79305	84.1877	0	0.001	0
55	0.247204	-1.79252	1.80949	85.9972	0	0.001	0
56	0.229279	-1.81184	1.82629	87.8235	0	0.001	0
57	0.211161	-1.83132	1.84345	89.6669	0	0.001	0
58	0.192848	-1.85094	1.86096	91.5279	0	0.001	0
59	0.174338	-1.87071	1.87882	93.4067	0	0.001	0
60	0.155631	-1.89061	1.89701	95.3037	0	0.001	0
61	0.136725	-1.91064	1.91552	97.2192	0	0.001	0
62	0.117619	-1.93077	1.93435	99.1536	0	0.001	0
63	0.0983109	-1.95101	1.95348	101.107	0	0.001	0
64	0.0788008	-1.97133	1.97291	103.08	0	0.001	0
65	0.0590875	-1.99173	1.99261	105.073	0	0.001	0
66	0.0391702	-2.01219	2.01257	107.085	0	0.001	0
67	0.0190483	-2.03269	2.03278	109.118	0	0.001	0
68	-0.00127862	-2.05322	2.05322	111.171	0	0.001	0
69	-0.0218108	-2.07376	2.07388	113.245	0	0.001	0
70	-0.0425485	-2.09429	2.09472	115.34	0	0.001	0
71	-0.0634914	-2.11479	2.11575	117.456	0	0.001	0
72	-0.0846393	-2.13524	2.13692	119.592	0	0.001	0
73	-0.105992	-2.15562	2.15822	121.751	0	0.001	0
74	-0.127548	-2.17589	2.17963	123.93	0	0.001	0
75	-0.149307	-2.19604	2.20111	126.131	0	0.001	0
76	-0.171267	-2.21604	2.22265	128.354	0	0.001	0
77	-0.193428	-2.23586	2.24421	130.598	0	0.001	0
78	-0.215786	-2.25547	2.26577	132.864	0	0.001	0
79	-0.238341	-2.27484	2.28729	135.151	0	0.001	0
80	-0.261089	-2.29394	2.30875	137.46	0	0.001	0
81	-0.284029	-2.31273	2.3301	139.79	0	0.001	0
82	-0.307156	-2.33117	2.35132	142.142	0	0.001	0
83	-0.330468	-2.34923	2.37236	144.514	0	0.001	0
84	-0.35396	-2.36688	2.3932	146.907	0	0.001	0
85	-0.377629	-2.38407	2.41379	149.321	0	0.001	0
86	-0.40147	-2.40076	2.43409	151.755	0	0.001	0
87	-0.425477	-2.4169	2.45407	154.209	0	0.001	0
88	-0.449646	-2.43247	2.47368	156.683	0	0.001	0
89	-0.473971	-2.4474	2.49287	159.176	0	0.001	0
90	-0.498445	-2.46166	2.51162	161.687	0	0.001	0
91	-0.523062	-2.4752	2.52987	164.217	0	0.001	0
92	-0.547814	-2.48798	2.54757	166.765	0	0.001	0
93	-0.572693	-2.49994	2.56469	169.329	0	0.001	0
94	-0.597693	-2.51103	2.58119	171.911	0	0.001	0
95	-0.622803	-2.52122	2.59701	174.508	0	0.001	0
96	-0.648015	-2.53045	2.61211	177.12	0	0.001	0
97	-0.67332	-2.53868	2.62645	179.746	0	0.001	0
98	-0.698707	-2.54585	2.63999	182.386	0	0.001	0
99	-0.724165	-2.55191	2.65267	185.039	0	0.001	0


t	x[0]	x[1]	P	theta[0]	theta[1]	theta[2]
