
Current theta : [ 1.32341 , -1.66436 , 1.00729 ] 


t	x[0]	x[1]	P	theta[0]	theta[1]	theta[2]
0	0.99	-0.980122	1.3931	1.3931	1.32341	-1.66436	1.00729
1	0.980199	-0.960606	1.37243	2.76553	1.32341	-1.66436	1.00729
2	0.970593	-0.941446	1.35217	4.1177	1.32341	-1.66436	1.00729
3	0.961178	-0.922634	1.33234	5.45004	1.32341	-1.66436	1.00729
4	0.951952	-0.904164	1.31291	6.76295	1.32341	-1.66436	1.00729
5	0.94291	-0.886031	1.29388	8.05683	1.32341	-1.66436	1.00729
6	0.93405	-0.868227	1.27525	9.33208	1.32341	-1.66436	1.00729
7	0.925368	-0.850748	1.25701	10.5891	1.32341	-1.66436	1.00729
8	0.91686	-0.833587	1.23915	11.8282	1.32341	-1.66436	1.00729
9	0.908524	-0.816738	1.22167	13.0499	1.32341	-1.66436	1.00729
10	0.900357	-0.800196	1.20456	14.2545	1.32341	-1.66436	1.00729
11	0.892355	-0.783955	1.18781	15.4423	1.32341	-1.66436	1.00729
12	0.884515	-0.76801	1.17141	16.6137	1.32341	-1.66436	1.00729
13	0.876835	-0.752355	1.15537	17.7691	1.32341	-1.66436	1.00729
14	0.869312	-0.736984	1.13967	18.9087	1.32341	-1.66436	1.00729
15	0.861942	-0.721894	1.12431	20.033	1.32341	-1.66436	1.00729
16	0.854723	-0.707078	1.10928	21.1423	1.32341	-1.66436	1.00729
17	0.847652	-0.692531	1.09458	22.2369	1.32341	-1.66436	1.00729
18	0.840727	-0.678249	1.08021	23.3171	1.32341	-1.66436	1.00729
19	0.833944	-0.664228	1.06614	24.3833	1.32341	-1.66436	1.00729
20	0.827302	-0.650461	1.05239	25.4356	1.32341	-1.66436	1.00729
21	0.820798	-0.636944	1.03894	26.4746	1.32341	-1.66436	1.00729
22	0.814428	-0.623673	1.0258	27.5004	1.32341	-1.66436	1.00729
23	0.808191	-0.610644	1.01295	28.5133	1.32341	-1.66436	1.00729
24	0.802085	-0.597851	1.00038	29.5137	1.32341	-1.66436	1.00729
25	0.796106	-0.585292	0.988105	30.5018	1.32341	-1.66436	1.00729
26	0.790254	-0.57296	0.976106	31.4779	1.32341	-1.66436	1.00729
27	0.784524	-0.560852	0.964382	32.4423	1.32341	-1.66436	1.00729
28	0.778915	-0.548965	0.952928	33.3952	1.32341	-1.66436	1.00729
29	0.773426	-0.537293	0.941739	34.337	1.32341	-1.66436	1.00729
30	0.768053	-0.525834	0.930809	35.2678	1.32341	-1.66436	1.00729
31	0.762794	-0.514582	0.920136	36.1879	1.32341	-1.66436	1.00729
32	0.757649	-0.503535	0.909714	37.0976	1.32341	-1.66436	1.00729
33	0.752613	-0.492689	0.899538	37.9972	1.32341	-1.66436	1.00729
34	0.747686	-0.482039	0.889605	38.8868	1.32341	-1.66436	1.00729
35	0.742866	-0.471582	0.879909	39.7667	1.32341	-1.66436	1.00729
36	0.73815	-0.461316	0.870447	40.6371	1.32341	-1.66436	1.00729
37	0.733537	-0.451235	0.861214	41.4984	1.32341	-1.66436	1.00729
38	0.729025	-0.441338	0.852206	42.3506	1.32341	-1.66436	1.00729
39	0.724611	-0.431619	0.84342	43.194	1.32341	-1.66436	1.00729
40	0.720295	-0.422077	0.83485	44.0288	1.32341	-1.66436	1.00729
41	0.716074	-0.412708	0.826493	44.8553	1.32341	-1.66436	1.00729
42	0.711947	-0.403509	0.818345	45.6737	1.32341	-1.66436	1.00729
43	0.707912	-0.394476	0.810402	46.4841	1.32341	-1.66436	1.00729
44	0.703967	-0.385606	0.80266	47.2867	1.32341	-1.66436	1.00729
45	0.700111	-0.376898	0.795115	48.0818	1.32341	-1.66436	1.00729
46	0.696342	-0.368347	0.787764	48.8696	1.32341	-1.66436	1.00729
47	0.692659	-0.35995	0.780603	49.6502	1.32341	-1.66436	1.00729
48	0.689059	-0.351705	0.773628	50.4238	1.32341	-1.66436	1.00729
49	0.685542	-0.34361	0.766835	51.1907	1.32341	-1.66436	1.00729
50	0.682106	-0.335661	0.760222	51.9509	1.32341	-1.66436	1.00729
51	0.67875	-0.327855	0.753784	52.7047	1.32341	-1.66436	1.00729
52	0.675471	-0.32019	0.747518	53.4522	1.32341	-1.66436	1.00729
53	0.672269	-0.312664	0.741421	54.1936	1.32341	-1.66436	1.00729
54	0.669143	-0.305273	0.735489	54.9291	1.32341	-1.66436	1.00729
55	0.66609	-0.298016	0.729719	55.6588	1.32341	-1.66436	1.00729
56	0.66311	-0.29089	0.724107	56.3829	1.32341	-1.66436	1.00729
57	0.660201	-0.283892	0.718651	57.1016	1.32341	-1.66436	1.00729
58	0.657362	-0.27702	0.713348	57.8149	1.32341	-1.66436	1.00729
59	0.654592	-0.270272	0.708193	58.5231	1.32341	-1.66436	1.00729
60	0.651889	-0.263646	0.703184	59.2263	1.32341	-1.66436	1.00729
61	0.649252	-0.257138	0.698319	59.9246	1.32341	-1.66436	1.00729
62	0.646681	-0.250748	0.693593	60.6182	1.32341	-1.66436	1.00729
63	0.644174	-0.244473	0.689004	61.3072	1.32341	-1.66436	1.00729
64	0.641729	-0.23831	0.684549	61.9918	1.32341	-1.66436	1.00729
65	0.639346	-0.232258	0.680226	62.672	1.32341	-1.66436	1.00729
66	0.637023	-0.226315	0.67603	63.348	1.32341	-1.66436	1.00729
67	0.63476	-0.220478	0.67196	64.02	1.32341	-1.66436	1.00729
68	0.632555	-0.214746	0.668013	64.688	1.32341	-1.66436	1.00729
69	0.630408	-0.209117	0.664187	65.3522	1.32341	-1.66436	1.00729
70	0.628317	-0.203588	0.660477	66.0127	1.32341	-1.66436	1.00729
71	0.626281	-0.198159	0.656882	66.6695	1.32341	-1.66436	1.00729
72	0.624299	-0.192826	0.6534	67.3229	1.32341	-1.66436	1.00729
73	0.622371	-0.187589	0.650027	67.973	1.32341	-1.66436	1.00729
74	0.620495	-0.182446	0.646762	68.6197	1.32341	-1.66436	1.00729
75	0.618671	-0.177395	0.643601	69.2633	1.32341	-1.66436	1.00729
76	0.616897	-0.172433	0.640542	69.9039	1.32341	-1.66436	1.00729
77	0.615172	-0.167561	0.637584	70.5415	1.32341	-1.66436	1.00729
78	0.613497	-0.162775	0.634723	71.1762	1.32341	-1.66436	1.00729
79	0.611869	-0.158074	0.631958	71.8081	1.32341	-1.66436	1.00729
80	0.610288	-0.153457	0.629286	72.4374	1.32341	-1.66436	1.00729
81	0.608754	-0.148922	0.626705	73.0641	1.32341	-1.66436	1.00729
82	0.607264	-0.144468	0.624212	73.6883	1.32341	-1.66436	1.00729
83	0.60582	-0.140093	0.621807	74.3102	1.32341	-1.66436	1.00729
84	0.604419	-0.135796	0.619486	74.9296	1.32341	-1.66436	1.00729
85	0.603061	-0.131574	0.617247	75.5469	1.32341	-1.66436	1.00729
86	0.601745	-0.127428	0.615089	76.162	1.32341	-1.66436	1.00729
87	0.600471	-0.123355	0.61301	76.775	1.32341	-1.66436	1.00729
88	0.599237	-0.119354	0.611008	77.386	1.32341	-1.66436	1.00729
89	0.598044	-0.115424	0.60908	77.9951	1.32341	-1.66436	1.00729
90	0.596889	-0.111564	0.607226	78.6023	1.32341	-1.66436	1.00729
91	0.595774	-0.107771	0.605443	79.2077	1.32341	-1.66436	1.00729
92	0.594696	-0.104046	0.603729	79.8115	1.32341	-1.66436	1.00729
93	0.593656	-0.100386	0.602083	80.4136	1.32341	-1.66436	1.00729
94	0.592652	-0.0967903	0.600504	81.0141	1.32341	-1.66436	1.00729
95	0.591684	-0.0932581	0.598988	81.613	1.32341	-1.66436	1.00729
96	0.590751	-0.089788	0.597536	82.2106	1.32341	-1.66436	1.00729
97	0.589853	-0.0863788	0.596145	82.8067	1.32341	-1.66436	1.00729
98	0.58899	-0.0830294	0.594813	83.4015	1.32341	-1.66436	1.00729
99	0.588159	-0.0797387	0.59354	83.9951	1.32341	-1.66436	1.00729


t	x[0]	x[1]	P	theta[0]	theta[1]	theta[2]
0	0.99	-0.980112	1.3931	1.3931	1.32441	-1.66436	1.00729
1	0.980199	-0.960587	1.37241	2.76551	1.32441	-1.66436	1.00729
2	0.970593	-0.941417	1.35215	4.11766	1.32441	-1.66436	1.00729
3	0.961179	-0.922595	1.33231	5.44997	1.32441	-1.66436	1.00729
4	0.951953	-0.904117	1.31288	6.76285	1.32441	-1.66436	1.00729
5	0.942912	-0.885975	1.29384	8.05669	1.32441	-1.66436	1.00729
6	0.934052	-0.868163	1.27521	9.3319	1.32441	-1.66436	1.00729
7	0.92537	-0.850675	1.25696	10.5889	1.32441	-1.66436	1.00729
8	0.916864	-0.833506	1.2391	11.828	1.32441	-1.66436	1.00729
9	0.908529	-0.81665	1.22161	13.0496	1.32441	-1.66436	1.00729
10	0.900362	-0.8001	1.2045	14.2541	1.32441	-1.66436	1.00729
11	0.892361	-0.783851	1.18774	15.4418	1.32441	-1.66436	1.00729
12	0.884523	-0.767899	1.17134	16.6132	1.32441	-1.66436	1.00729
13	0.876844	-0.752237	1.1553	17.7685	1.32441	-1.66436	1.00729
14	0.869321	-0.736859	1.1396	18.9081	1.32441	-1.66436	1.00729
15	0.861953	-0.721762	1.12423	20.0323	1.32441	-1.66436	1.00729
16	0.854735	-0.70694	1.1092	21.1415	1.32441	-1.66436	1.00729
17	0.847666	-0.692387	1.0945	22.236	1.32441	-1.66436	1.00729
18	0.840742	-0.678099	1.08012	23.3161	1.32441	-1.66436	1.00729
19	0.833961	-0.664071	1.06606	24.3822	1.32441	-1.66436	1.00729
20	0.82732	-0.650298	1.05231	25.4345	1.32441	-1.66436	1.00729
21	0.820817	-0.636776	1.03886	26.4733	1.32441	-1.66436	1.00729
22	0.814449	-0.6235	1.02571	27.4991	1.32441	-1.66436	1.00729
23	0.808214	-0.610465	1.01286	28.5119	1.32441	-1.66436	1.00729
24	0.80211	-0.597668	1.00029	29.5122	1.32441	-1.66436	1.00729
25	0.796133	-0.585103	0.988015	30.5002	1.32441	-1.66436	1.00729
26	0.790282	-0.572766	0.976016	31.4762	1.32441	-1.66436	1.00729
27	0.784554	-0.560654	0.964292	32.4405	1.32441	-1.66436	1.00729
28	0.778948	-0.548762	0.952837	33.3934	1.32441	-1.66436	1.00729
29	0.77346	-0.537086	0.941648	34.335	1.32441	-1.66436	1.00729
30	0.768089	-0.525622	0.93072	35.2657	1.32441	-1.66436	1.00729
31	0.762833	-0.514366	0.920047	36.1858	1.32441	-1.66436	1.00729
32	0.757689	-0.503315	0.909626	37.0954	1.32441	-1.66436	1.00729
33	0.752656	-0.492464	0.899451	37.9949	1.32441	-1.66436	1.00729
