Something 


t	x[0]	x[1]	P	theta[0]	theta[1]	theta[2]
0	0.099	0.099	0.140007	0.140007	0	1
1	0.09801	0.09801	0.138607	0.278614	0	1
2	0.0970299	0.0970299	0.137221	0.415835	0	1
3	0.0960596	0.0960596	0.135849	0.551684	0	1
4	0.095099	0.095099	0.13449	0.686174	0	1
5	0.094148	0.094148	0.133145	0.81932	0	1
6	0.0932065	0.0932065	0.131814	0.951134	0	1
7	0.0922745	0.0922745	0.130496	1.08163	0	1
8	0.0913517	0.0913517	0.129191	1.21082	0	1
9	0.0904382	0.0904382	0.127899	1.33872	0	1
10	0.0895338	0.0895338	0.12662	1.46534	0	1
11	0.0886385	0.0886385	0.125354	1.59069	0	1
12	0.0877521	0.0877521	0.1241	1.71479	0	1
13	0.0868746	0.0868746	0.122859	1.83765	0	1
14	0.0860058	0.0860058	0.121631	1.95928	0	1
15	0.0851458	0.0851458	0.120414	2.0797	0	1
16	0.0842943	0.0842943	0.11921	2.19891	0	1
17	0.0834514	0.0834514	0.118018	2.31693	0	1
18	0.0826169	0.0826169	0.116838	2.43376	0	1
19	0.0817907	0.0817907	0.11567	2.54943	0	1
20	0.0809728	0.0809728	0.114513	2.66395	0	1
21	0.0801631	0.0801631	0.113368	2.77731	0	1
22	0.0793614	0.0793614	0.112234	2.88955	0	1
23	0.0785678	0.0785678	0.111112	3.00066	0	1
24	0.0777821	0.0777821	0.110001	3.11066	0	1
25	0.0770043	0.0770043	0.108901	3.21956	0	1
26	0.0762343	0.0762343	0.107812	3.32737	0	1
27	0.0754719	0.0754719	0.106733	3.43411	0	1
28	0.0747172	0.0747172	0.105666	3.53977	0	1
29	0.07397	0.07397	0.104609	3.64438	0	1
30	0.0732303	0.0732303	0.103563	3.74794	0	1
31	0.072498	0.072498	0.102528	3.85047	0	1
32	0.0717731	0.0717731	0.101502	3.95197	0	1
33	0.0710553	0.0710553	0.100487	4.05246	0	1
34	0.0703448	0.0703448	0.0994825	4.15194	0	1
35	0.0696413	0.0696413	0.0984877	4.25043	0	1
36	0.0689449	0.0689449	0.0975028	4.34793	0	1
37	0.0682555	0.0682555	0.0965278	4.44446	0	1
38	0.0675729	0.0675729	0.0955625	4.54002	0	1
39	0.0668972	0.0668972	0.0946069	4.63463	0	1
40	0.0662282	0.0662282	0.0936608	4.72829	0	1
41	0.0655659	0.0655659	0.0927242	4.82102	0	1
42	0.0649103	0.0649103	0.091797	4.91281	0	1
43	0.0642612	0.0642612	0.090879	5.00369	0	1
44	0.0636185	0.0636185	0.0899702	5.09366	0	1
45	0.0629824	0.0629824	0.0890705	5.18273	0	1
46	0.0623525	0.0623525	0.0881798	5.27091	0	1
47	0.061729	0.061729	0.087298	5.35821	0	1
48	0.0611117	0.0611117	0.086425	5.44464	0	1
49	0.0605006	0.0605006	0.0855608	5.5302	0	1
50	0.0598956	0.0598956	0.0847052	5.6149	0	1
51	0.0592966	0.0592966	0.0838581	5.69876	0	1
52	0.0587037	0.0587037	0.0830195	5.78178	0	1
53	0.0581166	0.0581166	0.0821893	5.86397	0	1
54	0.0575355	0.0575355	0.0813674	5.94534	0	1
55	0.0569601	0.0569601	0.0805538	6.02589	0	1
56	0.0563905	0.0563905	0.0797482	6.10564	0	1
57	0.0558266	0.0558266	0.0789508	6.18459	0	1
58	0.0552683	0.0552683	0.0781612	6.26275	0	1
59	0.0547157	0.0547157	0.0773796	6.34013	0	1
60	0.0541685	0.0541685	0.0766058	6.41674	0	1
61	0.0536268	0.0536268	0.0758398	6.49258	0	1
62	0.0530906	0.0530906	0.0750814	6.56766	0	1
63	0.0525596	0.0525596	0.0743306	6.64199	0	1
64	0.0520341	0.0520341	0.0735873	6.71558	0	1
65	0.0515137	0.0515137	0.0728514	6.78843	0	1
66	0.0509986	0.0509986	0.0721229	6.86055	0	1
67	0.0504886	0.0504886	0.0714016	6.93195	0	1
68	0.0499837	0.0499837	0.0706876	7.00264	0	1
69	0.0494839	0.0494839	0.0699808	7.07262	0	1
70	0.048989	0.048989	0.0692809	7.1419	0	1
71	0.0484991	0.0484991	0.0685881	7.21049	0	1
72	0.0480141	0.0480141	0.0679023	7.27839	0	1
73	0.047534	0.047534	0.0672232	7.34561	0	1
74	0.0470587	0.0470587	0.066551	7.41217	0	1
75	0.0465881	0.0465881	0.0658855	7.47805	0	1
76	0.0461222	0.0461222	0.0652266	7.54328	0	1
77	0.045661	0.045661	0.0645744	7.60785	0	1
78	0.0452044	0.0452044	0.0639286	7.67178	0	1
79	0.0447523	0.0447523	0.0632893	7.73507	0	1
80	0.0443048	0.0443048	0.0626564	7.79773	0	1
81	0.0438618	0.0438618	0.0620299	7.85976	0	1
82	0.0434231	0.0434231	0.0614096	7.92117	0	1
83	0.0429889	0.0429889	0.0607955	7.98196	0	1
84	0.042559	0.042559	0.0601875	8.04215	0	1
85	0.0421334	0.0421334	0.0595857	8.10173	0	1
86	0.0417121	0.0417121	0.0589898	8.16072	0	1
87	0.041295	0.041295	0.0583999	8.21912	0	1
88	0.040882	0.040882	0.0578159	8.27694	0	1
89	0.0404732	0.0404732	0.0572377	8.33418	0	1
90	0.0400685	0.0400685	0.0566654	8.39084	0	1
91	0.0396678	0.0396678	0.0560987	8.44694	0	1
92	0.0392711	0.0392711	0.0555377	8.50248	0	1
93	0.0388784	0.0388784	0.0549823	8.55746	0	1
94	0.0384896	0.0384896	0.0544325	8.61189	0	1
95	0.0381047	0.0381047	0.0538882	8.66578	0	1
96	0.0377237	0.0377237	0.0533493	8.71913	0	1
97	0.0373464	0.0373464	0.0528158	8.77195	0	1
98	0.036973	0.036973	0.0522877	8.82424	0	1
99	0.0366032	0.0366032	0.0517648	8.876	0	1
100	0.0362372	0.0362372	0.0512471	8.92725	0	1
101	0.0358748	0.0358748	0.0507347	8.97798	0	1
102	0.0355161	0.0355161	0.0502273	9.02821	0	1
103	0.0351609	0.0351609	0.0497251	9.07793	0	1
104	0.0348093	0.0348093	0.0492278	9.12716	0	1
105	0.0344612	0.0344612	0.0487355	9.1759	0	1
106	0.0341166	0.0341166	0.0482482	9.22415	0	1
107	0.0337754	0.0337754	0.0477657	9.27191	0	1
108	0.0334377	0.0334377	0.047288	9.3192	0	1
109	0.0331033	0.0331033	0.0468151	9.36601	0	1
110	0.0327723	0.0327723	0.046347	9.41236	0	1
111	0.0324446	0.0324446	0.0458835	9.45825	0	1
112	0.0321201	0.0321201	0.0454247	9.50367	0	1
113	0.0317989	0.0317989	0.0449704	9.54864	0	1
114	0.0314809	0.0314809	0.0445207	9.59316	0	1
115	0.0311661	0.0311661	0.0440755	9.63724	0	1
116	0.0308544	0.0308544	0.0436348	9.68087	0	1
117	0.0305459	0.0305459	0.0431984	9.72407	0	1
118	0.0302404	0.0302404	0.0427664	9.76684	0	1
119	0.029938	0.029938	0.0423388	9.80917	0	1
120	0.0296387	0.0296387	0.0419154	9.85109	0	1
121	0.0293423	0.0293423	0.0414962	9.89259	0	1
122	0.0290488	0.0290488	0.0410813	9.93367	0	1
123	0.0287584	0.0287584	0.0406705	9.97434	0	1
124	0.0284708	0.0284708	0.0402638	10.0146	0	1
125	0.0281861	0.0281861	0.0398611	10.0545	0	1
126	0.0279042	0.0279042	0.0394625	10.0939	0	1
127	0.0276252	0.0276252	0.0390679	10.133	0	1
128	0.0273489	0.0273489	0.0386772	10.1717	0	1
129	0.0270754	0.0270754	0.0382904	10.21	0	1
130	0.0268047	0.0268047	0.0379075	10.2479	0	1
131	0.0265366	0.0265366	0.0375285	10.2854	0	1
132	0.0262713	0.0262713	0.0371532	10.3226	0	1
133	0.0260085	0.0260085	0.0367816	10.3593	0	1
134	0.0257485	0.0257485	0.0364138	10.3957	0	1
135	0.025491	0.025491	0.0360497	10.4318	0	1
136	0.0252361	0.0252361	0.0356892	10.4675	0	1
137	0.0249837	0.0249837	0.0353323	10.5028	0	1
138	0.0247339	0.0247339	0.034979	10.5378	0	1
