
Current theta : [ 0.1 , 0.1 , 0.1 ] 


t	x[0]	x[1]	P	theta[0]	theta[1]	theta[2]
0	0.2	-0.1276	0.237238	0.1	0.1	0.1
0.1	0.0724	-0.106707	0.366188	0.1	0.1	0.1
0.2	-0.0343069	0.0162372	0.404143	0.1	0.1	0.1
0.3	-0.0180696	0.0189772	0.430347	0.1	0.1	0.1
0.4	0.000907592	0.0030096	0.433491	0.1	0.1	0.1
0.5	0.00391719	-0.00290237	0.438366	0.1	0.1	0.1
0.6	0.00101482	-0.00149911	0.440176	0.1	0.1	0.1
0.7	-0.000484292	0.000137348	0.44068	0.1	0.1	0.1
0.8	-0.000346944	0.000339633	0.441165	0.1	0.1	0.1
0.9	-7.31062e-06	7.45018e-05	0.44124	0.1	0.1	0.1
1	6.71912e-05	-4.55627e-05	0.441321	0.1	0.1	0.1


t	x[0]	x[1]	P	theta[0]	theta[1]	theta[2]
0	0.2	-0.1176	0.232012	0.15	0.1	0.1
0.1	0.0824	-0.110284	0.36968	0.15	0.1	0.1
0.2	-0.0278838	0.00725688	0.398492	0.15	0.1	0.1
0.3	-0.0206269	0.018712	0.426342	0.15	0.1	0.1
0.4	-0.00191488	0.0053055	0.431983	0.15	0.1	0.1
0.5	0.00339062	-0.0017886	0.435816	0.15	0.1	0.1
0.6	0.00160202	-0.00172459	0.43817	0.15	0.1	0.1
0.7	-0.000122571	-0.000240352	0.43844	0.15	0.1	0.1
0.8	-0.000362923	0.000260571	0.438887	0.15	0.1	0.1
0.9	-0.000102352	0.000139065	0.439059	0.15	0.1	0.1
1	3.67135e-05	-3.38422e-06	0.439096	0.15	0.1	0.1


t	x[0]	x[1]	P	theta[0]	theta[1]	theta[2]
0	0.2	-0.1226	0.234586	0.1	0.15	0.1
0.1	0.0774	-0.11673	0.374645	0.1	0.15	0.1
0.2	-0.0393296	0.0146404	0.416612	0.1	0.15	0.1
0.3	-0.0246892	0.0252217	0.451906	0.1	0.15	0.1
0.4	0.000532528	0.00585032	0.457781	0.1	0.15	0.1
0.5	0.00638285	-0.00421498	0.46543	0.1	0.15	0.1
0.6	0.00216787	-0.00302126	0.469148	0.1	0.15	0.1
0.7	-0.000853389	1.73793e-05	0.470002	0.1	0.15	0.1
0.8	-0.00083601	0.000756728	0.471129	0.1	0.15	0.1
0.9	-7.92823e-05	0.000260428	0.471401	0.1	0.15	0.1
1	0.000181146	-9.78392e-05	0.471607	0.1	0.15	0.1


t	x[0]	x[1]	P	theta[0]	theta[1]	theta[2]
0	0.2	-0.1244	0.235532	0.1	0.1	0.15
0.1	0.0756	-0.114524	0.372758	0.1	0.1	0.15
0.2	-0.0389235	0.0141258	0.414166	0.1	0.1	0.15
0.3	-0.0247977	0.0252465	0.449554	0.1	0.1	0.15
0.4	0.000448807	0.00592697	0.455498	0.1	0.1	0.15
0.5	0.00637577	-0.00419242	0.463128	0.1	0.1	0.15
0.6	0.00218336	-0.00302867	0.466862	0.1	0.1	0.15
0.7	-0.000845313	7.96867e-06	0.467707	0.1	0.1	0.15
0.8	-0.000837344	0.000755591	0.468835	0.1	0.1	0.15
0.9	-8.17536e-05	0.000262371	0.46911	0.1	0.1	0.15
1	0.000180617	-9.68823e-05	0.469315	0.1	0.1	0.15
