
Current theta : [ 0.144501 , -0.550227 , 0.145849 ] 


t	x[0]	x[1]	P	theta[0]	theta[1]	theta[2]
0	0.2	-0.180788	0.2696	0.144501	-0.550227	0.145849
0.1	0.0192119	0.0507945	0.323907	0.144501	-0.550227	0.145849
0.2	0.0700064	-0.0745686	0.426188	0.144501	-0.550227	0.145849
0.3	-0.00456218	0.0346393	0.461126	0.144501	-0.550227	0.145849
0.4	0.0300771	-0.0379853	0.509577	0.144501	-0.550227	0.145849
0.5	-0.00790816	0.022641	0.53356	0.144501	-0.550227	0.145849
0.6	0.0147329	-0.0211938	0.559371	0.144501	-0.550227	0.145849
0.7	-0.00646097	0.0143324	0.575092	0.144501	-0.550227	0.145849
0.8	0.00787138	-0.0123377	0.589727	0.144501	-0.550227	0.145849
0.9	-0.0044663	0.00890434	0.599689	0.144501	-0.550227	0.145849
1	0.00443804	-0.0073301	0.608258	0.144501	-0.550227	0.145849


t	x[0]	x[1]	P	theta[0]	theta[1]	theta[2]
0	0.2	-0.170788	0.262999	0.194501	-0.550227	0.145849
0.1	0.0292119	0.0371345	0.310246	0.194501	-0.550227	0.145849
0.2	0.0663464	-0.0643891	0.402701	0.194501	-0.550227	0.145849
0.3	0.00195727	0.0242459	0.427025	0.194501	-0.550227	0.145849
0.4	0.0262031	-0.02984	0.466737	0.194501	-0.550227	0.145849
0.5	-0.00363685	0.0151818	0.482349	0.194501	-0.550227	0.145849
0.6	0.011545	-0.015141	0.501389	0.194501	-0.550227	0.145849
0.7	-0.00359599	0.00911242	0.511185	0.194501	-0.550227	0.145849
0.8	0.00551643	-0.0080427	0.520938	0.194501	-0.550227	0.145849
0.9	-0.00252627	0.00532195	0.526829	0.194501	-0.550227	0.145849
1	0.00279568	-0.00437861	0.532024	0.194501	-0.550227	0.145849


t	x[0]	x[1]	P	theta[0]	theta[1]	theta[2]
0	0.2	-0.175788	0.266273	0.144501	-0.500227	0.145849
0.1	0.0242119	0.0343994	0.308339	0.144501	-0.500227	0.145849
0.2	0.0586113	-0.0589889	0.391495	0.144501	-0.500227	0.145849
0.3	-0.000377656	0.0212655	0.412764	0.144501	-0.500227	0.145849
0.4	0.0208879	-0.0246547	0.445078	0.144501	-0.500227	0.145849
0.5	-0.00376682	0.0121185	0.457768	0.144501	-0.500227	0.145849
0.6	0.00835171	-0.0112672	0.471793	0.144501	-0.500227	0.145849
0.7	-0.00291553	0.00654329	0.478957	0.144501	-0.500227	0.145849
0.8	0.00362776	-0.00538186	0.485447	0.144501	-0.500227	0.145849
0.9	-0.0017541	0.00342399	0.489294	0.144501	-0.500227	0.145849
1	0.00166988	-0.00263221	0.492411	0.144501	-0.500227	0.145849


t	x[0]	x[1]	P	theta[0]	theta[1]	theta[2]
0	0.2	-0.177588	0.267465	0.144501	-0.550227	0.195849
0.1	0.0224119	0.0374305	0.311092	0.144501	-0.550227	0.195849
0.2	0.0598424	-0.0609649	0.39652	0.144501	-0.550227	0.195849
0.3	-0.00112255	0.0226751	0.419222	0.144501	-0.550227	0.195849
0.4	0.0215525	-0.0256962	0.452761	0.144501	-0.550227	0.195849
0.5	-0.00414367	0.0128227	0.466236	0.144501	-0.550227	0.195849
0.6	0.008679	-0.0117907	0.480877	0.144501	-0.550227	0.195849
0.7	-0.00311173	0.00689956	0.488446	0.144501	-0.550227	0.195849
0.8	0.00378782	-0.00564358	0.495242	0.144501	-0.550227	0.195849
0.9	-0.00185575	0.00360441	0.499296	0.144501	-0.550227	0.195849
1	0.00174866	-0.00276317	0.502566	0.144501	-0.550227	0.195849
