
Current theta : [ 1.66917 , 0.24203 , -0.0572546 ] 


t	x[0]	x[1]	P	theta[0]	theta[1]	theta[2]
0	0.2	0.190374	0.27612	1.66917	0.24203	-0.0572546
0.1	0.390374	0.422876	0.851633	1.66917	0.24203	-0.0572546
0.2	0.813249	1.05384	2.18278	1.66917	0.24203	-0.0572546
0.3	1.86709	1.72062	4.72179	1.66917	0.24203	-0.0572546
0.4	3.58771	-7.64353	13.1654	1.66917	0.24203	-0.0572546
0.5	-4.05582	194.357	207.565	1.66917	0.24203	-0.0572546
0.6	190.301	-7.36318e+06	7.36339e+06	1.66917	0.24203	-0.0572546
0.7	-7.36299e+06	4.2204e+20	4.2204e+20	1.66917	0.24203	-0.0572546
0.8	4.2204e+20	-7.94767e+61	7.94767e+61	1.66917	0.24203	-0.0572546
0.9	-7.94767e+61	5.30761e+185	inf	1.66917	0.24203	-0.0572546
1	5.30761e+185	-inf	inf	1.66917	0.24203	-0.0572546


t	x[0]	x[1]	P	theta[0]	theta[1]	theta[2]
0	0.2	0.200374	0.283107	1.71917	0.24203	-0.0572546
0.1	0.400374	0.460639	0.893424	1.71917	0.24203	-0.0572546
0.2	0.861013	1.18194	2.35572	1.71917	0.24203	-0.0572546
0.3	2.04295	1.57798	4.93713	1.71917	0.24203	-0.0572546
0.4	3.62093	-6.89626	12.7262	1.71917	0.24203	-0.0572546
0.5	-3.27533	122.349	135.119	1.71917	0.24203	-0.0572546
0.6	119.074	-1.80314e+06	1.80327e+06	1.71917	0.24203	-0.0572546
0.7	-1.80302e+06	6.19738e+18	6.19738e+18	1.71917	0.24203	-0.0572546
0.8	6.19738e+18	-2.51654e+56	2.51654e+56	1.71917	0.24203	-0.0572546
0.9	-2.51654e+56	1.68497e+169	inf	1.71917	0.24203	-0.0572546
1	1.68497e+169	-inf	inf	1.71917	0.24203	-0.0572546


t	x[0]	x[1]	P	theta[0]	theta[1]	theta[2]
0	0.2	0.195374	0.279591	1.66917	0.29203	-0.0572546
0.1	0.395374	0.44149	0.87224	1.66917	0.29203	-0.0572546
0.2	0.836864	1.118	2.26876	1.66917	0.29203	-0.0572546
0.3	1.95487	1.67491	4.84303	1.66917	0.29203	-0.0572546
0.4	3.62978	-7.65349	13.3136	1.66917	0.29203	-0.0572546
0.5	-4.02371	191.635	204.99	1.66917	0.29203	-0.0572546
0.6	187.611	-7.05511e+06	7.05532e+06	1.66917	0.29203	-0.0572546
0.7	-7.05492e+06	3.71252e+20	3.71252e+20	1.66917	0.29203	-0.0572546
0.8	3.71252e+20	-5.40984e+61	5.40984e+61	1.66917	0.29203	-0.0572546
0.9	-5.40984e+61	1.67391e+185	inf	1.66917	0.29203	-0.0572546
1	1.67391e+185	-inf	inf	1.66917	0.29203	-0.0572546


t	x[0]	x[1]	P	theta[0]	theta[1]	theta[2]
0	0.2	0.193574	0.278336	1.66917	0.24203	-0.00725456
0.1	0.393574	0.43209	0.862803	1.66917	0.24203	-0.00725456
0.2	0.825664	1.07595	2.21905	1.66917	0.24203	-0.00725456
0.3	1.90162	1.72788	4.78843	1.66917	0.24203	-0.00725456
0.4	3.6295	-7.4588	13.0834	1.66917	0.24203	-0.00725456
0.5	-3.8293	163.391	176.519	1.66917	0.24203	-0.00725456
0.6	159.561	-4.13742e+06	4.13759e+06	1.66917	0.24203	-0.00725456
0.7	-4.13726e+06	7.13335e+19	7.13335e+19	1.66917	0.24203	-0.00725456
0.8	7.13335e+19	-3.65611e+59	3.65611e+59	1.66917	0.24203	-0.00725456
0.9	-3.65611e+59	4.92262e+178	inf	1.66917	0.24203	-0.00725456
1	4.92262e+178	-inf	inf	1.66917	0.24203	-0.00725456
