
Current theta : [ 0.1 , 0.1 , 0.1 ] 


t	x[0]	x[1]	P	theta[0]	theta[1]	theta[2]
0	0.2	-0.1276	0.237238	0.1	0.1	0.1
0.01	0.0724	-0.106707	0.366188	0.1	0.1	0.1
0.02	-0.0343069	0.0162372	0.404143	0.1	0.1	0.1
0.03	-0.0180696	0.0189772	0.430347	0.1	0.1	0.1
0.04	0.000907592	0.0030096	0.433491	0.1	0.1	0.1
0.05	0.00391719	-0.00290237	0.438366	0.1	0.1	0.1
0.06	0.00101482	-0.00149911	0.440176	0.1	0.1	0.1
0.07	-0.000484292	0.000137348	0.44068	0.1	0.1	0.1
0.08	-0.000346944	0.000339633	0.441165	0.1	0.1	0.1
0.09	-7.31062e-06	7.45018e-05	0.44124	0.1	0.1	0.1
0.1	6.71912e-05	-4.55627e-05	0.441321	0.1	0.1	0.1
0.11	2.16285e-05	-2.85799e-05	0.441357	0.1	0.1	0.1
0.12	-6.95146e-06	5.40684e-07	0.441364	0.1	0.1	0.1
0.13	-6.41078e-06	5.87783e-06	0.441373	0.1	0.1	0.1
0.14	-5.32947e-07	1.65521e-06	0.441374	0.1	0.1	0.1
0.15	1.12227e-06	-6.78993e-07	0.441376	0.1	0.1	0.1
0.16	4.43272e-07	-5.34744e-07	0.441376	0.1	0.1	0.1
0.17	-9.14719e-08	-2.46241e-08	0.441376	0.1	0.1	0.1
0.18	-1.16096e-07	9.95616e-08	0.441377	0.1	0.1	0.1
0.19	-1.65344e-08	3.47933e-08	0.441377	0.1	0.1	0.1
0.2	1.82589e-08	-9.47433e-09	0.441377	0.1	0.1	0.1
0.21	8.78454e-09	-9.80095e-09	0.441377	0.1	0.1	0.1
0.22	-1.01641e-09	-1.04542e-09	0.441377	0.1	0.1	0.1
0.23	-2.06183e-09	1.64656e-09	0.441377	0.1	0.1	0.1
0.24	-4.15267e-10	7.03054e-10	0.441377	0.1	0.1	0.1
0.25	2.87786e-10	-1.18397e-10	0.441377	0.1	0.1	0.1
0.26	1.69389e-10	-1.7613e-10	0.441377	0.1	0.1	0.1
0.27	-6.74044e-12	-2.91596e-11	0.441377	0.1	0.1	0.1
0.28	-3.59e-11	2.64781e-11	0.441377	0.1	0.1	0.1
0.29	-9.42191e-12	1.37753e-11	0.441377	0.1	0.1	0.1
