
Current theta : [ 0.144297 , -0.553031 , 0.145842 ] 


t	x[0]	x[1]	P	theta[0]	theta[1]	theta[2]
0	0.2	-0.18111	0.269816	0.144297	-0.553031	0.145842
0.01	0.0188902	0.0517921	0.324946	0.144297	-0.553031	0.145842
0.02	0.0706824	-0.0755395	0.428397	0.144297	-0.553031	0.145842
0.03	-0.00485714	0.0355434	0.464271	0.144297	-0.553031	0.145842
0.04	0.0306863	-0.0388965	0.513815	0.144297	-0.553031	0.145842
0.05	-0.00821027	0.0234116	0.538624	0.144297	-0.553031	0.145842
0.06	0.0152013	-0.0219374	0.565314	0.144297	-0.553031	0.145842
0.07	-0.00673608	0.01495	0.581711	0.144297	-0.553031	0.145842
0.08	0.00821395	-0.0129073	0.59701	0.144297	-0.553031	0.145842
0.09	-0.00469332	0.00937551	0.607495	0.144297	-0.553031	0.145842
0.1	0.00468219	-0.00774935	0.616549	0.144297	-0.553031	0.145842
0.11	-0.00306716	0.00582069	0.623128	0.144297	-0.553031	0.145842
0.12	0.00275353	-0.00469898	0.628575	0.144297	-0.553031	0.145842
0.13	-0.00194545	0.00359373	0.632661	0.144297	-0.553031	0.145842
0.14	0.00164828	-0.00286365	0.635965	0.144297	-0.553031	0.145842
0.15	-0.00121537	0.002212	0.638489	0.144297	-0.553031	0.145842
0.16	0.000996622	-0.00174975	0.640503	0.144297	-0.553031	0.145842
0.17	-0.000753126	0.00135918	0.642057	0.144297	-0.553031	0.145842
0.18	0.000606056	-0.00107064	0.643287	0.144297	-0.553031	0.145842
0.19	-0.000464584	0.000834349	0.644242	0.144297	-0.553031	0.145842
0.2	0.000369764	-0.000655619	0.644995	0.144297	-0.553031	0.145842
0.21	-0.000285855	0.000511887	0.645581	0.144297	-0.553031	0.145842
0.22	0.000226033	-0.000401654	0.646042	0.144297	-0.553031	0.145842
0.23	-0.000175621	0.000313949	0.646402	0.144297	-0.553031	0.145842
0.24	0.000138328	-0.00024613	0.646684	0.144297	-0.553031	0.145842
0.25	-0.000107802	0.000192513	0.646905	0.144297	-0.553031	0.145842
0.26	8.47111e-05	-0.000150849	0.647078	0.144297	-0.553031	0.145842
0.27	-6.61377e-05	0.000118035	0.647213	0.144297	-0.553031	0.145842
0.28	5.18975e-05	-9.2461e-05	0.647319	0.144297	-0.553031	0.145842
0.29	-4.05635e-05	7.23658e-05	0.647402	0.144297	-0.553031	0.145842
0.3	3.18023e-05	-5.66759e-05	0.647467	0.144297	-0.553031	0.145842
0.31	-2.48736e-05	4.43646e-05	0.647518	0.144297	-0.553031	0.145842
0.32	1.9491e-05	-3.47418e-05	0.647558	0.144297	-0.553031	0.145842
0.33	-1.52508e-05	2.71975e-05	0.647589	0.144297	-0.553031	0.145842
0.34	1.19467e-05	-2.12968e-05	0.647613	0.144297	-0.553031	0.145842
0.35	-9.35009e-06	1.66731e-05	0.647632	0.144297	-0.553031	0.145842
0.36	7.32297e-06	-1.30552e-05	0.647647	0.144297	-0.553031	0.145842
0.37	-5.73219e-06	1.02211e-05	0.647659	0.144297	-0.553031	0.145842
0.38	4.4889e-06	-8.00301e-06	0.647668	0.144297	-0.553031	0.145842
0.39	-3.5141e-06	6.26581e-06	0.647675	0.144297	-0.553031	0.145842
0.4	2.75171e-06	-4.90598e-06	0.647681	0.144297	-0.553031	0.145842
0.41	-2.15427e-06	3.8411e-06	0.647685	0.144297	-0.553031	0.145842
0.42	1.68682e-06	-3.00746e-06	0.647689	0.144297	-0.553031	0.145842
0.43	-1.32064e-06	2.35468e-06	0.647692	0.144297	-0.553031	0.145842
0.44	1.03405e-06	-1.84363e-06	0.647694	0.144297	-0.553031	0.145842
0.45	-8.09586e-07	1.44347e-06	0.647695	0.144297	-0.553031	0.145842
0.46	6.33888e-07	-1.13018e-06	0.647697	0.144297	-0.553031	0.145842
0.47	-4.96296e-07	8.84881e-07	0.647698	0.144297	-0.553031	0.145842
0.48	3.88585e-07	-6.92826e-07	0.647698	0.144297	-0.553031	0.145842
0.49	-3.04241e-07	5.42452e-07	0.647699	0.144297	-0.553031	0.145842
0.5	2.3821e-07	-4.24717e-07	0.6477	0.144297	-0.553031	0.145842
0.51	-1.86507e-07	3.32535e-07	0.6477	0.144297	-0.553031	0.145842
0.52	1.46028e-07	-2.60361e-07	0.6477	0.144297	-0.553031	0.145842
0.53	-1.14333e-07	2.03851e-07	0.6477	0.144297	-0.553031	0.145842
0.54	8.95181e-08	-1.59607e-07	0.647701	0.144297	-0.553031	0.145842
0.55	-7.00886e-08	1.24965e-07	0.647701	0.144297	-0.553031	0.145842
0.56	5.48765e-08	-9.78423e-08	0.647701	0.144297	-0.553031	0.145842
0.57	-4.29658e-08	7.66062e-08	0.647701	0.144297	-0.553031	0.145842
0.58	3.36404e-08	-5.99794e-08	0.647701	0.144297	-0.553031	0.145842
0.59	-2.6339e-08	4.69613e-08	0.647701	0.144297	-0.553031	0.145842
0.6	2.06223e-08	-3.67687e-08	0.647701	0.144297	-0.553031	0.145842
0.61	-1.61464e-08	2.87883e-08	0.647701	0.144297	-0.553031	0.145842
0.62	1.26419e-08	-2.254e-08	0.647701	0.144297	-0.553031	0.145842
0.63	-9.89807e-09	1.76478e-08	0.647701	0.144297	-0.553031	0.145842
0.64	7.74976e-09	-1.38175e-08	0.647701	0.144297	-0.553031	0.145842
0.65	-6.06773e-09	1.08185e-08	0.647701	0.144297	-0.553031	0.145842
0.66	4.75077e-09	-8.47042e-09	0.647701	0.144297	-0.553031	0.145842
0.67	-3.71965e-09	6.63197e-09	0.647701	0.144297	-0.553031	0.145842
0.68	2.91232e-09	-5.19255e-09	0.647701	0.144297	-0.553031	0.145842
0.69	-2.28022e-09	4.06554e-09	0.647701	0.144297	-0.553031	0.145842
0.7	1.78532e-09	-3.18314e-09	0.647701	0.144297	-0.553031	0.145842
0.71	-1.39783e-09	2.49226e-09	0.647701	0.144297	-0.553031	0.145842
0.72	1.09444e-09	-1.95134e-09	0.647701	0.144297	-0.553031	0.145842
0.73	-8.56897e-10	1.52781e-09	0.647701	0.144297	-0.553031	0.145842
0.74	6.70914e-10	-1.19621e-09	0.647701	0.144297	-0.553031	0.145842
0.75	-5.25297e-10	9.36581e-10	0.647701	0.144297	-0.553031	0.145842
0.76	4.11285e-10	-7.33303e-10	0.647701	0.144297	-0.553031	0.145842
0.77	-3.22018e-10	5.74144e-10	0.647701	0.144297	-0.553031	0.145842
0.78	2.52126e-10	-4.4953e-10	0.647701	0.144297	-0.553031	0.145842
0.79	-1.97404e-10	3.51963e-10	0.647701	0.144297	-0.553031	0.145842
0.8	1.54559e-10	-2.75572e-10	0.647701	0.144297	-0.553031	0.145842
0.81	-1.21013e-10	2.15761e-10	0.647701	0.144297	-0.553031	0.145842
0.82	9.47479e-11	-1.68931e-10	0.647701	0.144297	-0.553031	0.145842
0.83	-7.41835e-11	1.32266e-10	0.647701	0.144297	-0.553031	0.145842
0.84	5.80825e-11	-1.03559e-10	0.647701	0.144297	-0.553031	0.145842
0.85	-4.54761e-11	8.10819e-11	0.647701	0.144297	-0.553031	0.145842
0.86	3.56058e-11	-6.34836e-11	0.647701	0.144297	-0.553031	0.145842
0.87	-2.78778e-11	4.97049e-11	0.647701	0.144297	-0.553031	0.145842
0.88	2.18271e-11	-3.89168e-11	0.647701	0.144297	-0.553031	0.145842
0.89	-1.70897e-11	3.04702e-11	0.647701	0.144297	-0.553031	0.145842
0.9	1.33805e-11	-2.38568e-11	0.647701	0.144297	-0.553031	0.145842
0.91	-1.04764e-11	1.86789e-11	0.647701	0.144297	-0.553031	0.145842
0.92	8.20253e-12	-1.46248e-11	0.647701	0.144297	-0.553031	0.145842
0.93	-6.42223e-12	1.14506e-11	0.647701	0.144297	-0.553031	0.145842
0.94	5.02833e-12	-8.96529e-12	0.647701	0.144297	-0.553031	0.145842
0.95	-3.93696e-12	7.01944e-12	0.647701	0.144297	-0.553031	0.145842
0.96	3.08247e-12	-5.49592e-12	0.647701	0.144297	-0.553031	0.145842
0.97	-2.41344e-12	4.30306e-12	0.647701	0.144297	-0.553031	0.145842
0.98	1.88962e-12	-3.36911e-12	0.647701	0.144297	-0.553031	0.145842
0.99	-1.47949e-12	2.63787e-12	0.647701	0.144297	-0.553031	0.145842


t	x[0]	x[1]	P	theta[0]	theta[1]	theta[2]
0	0.2	-0.17111	0.263208	0.194297	-0.553031	0.145842
0.01	0.0288902	0.0380741	0.311002	0.194297	-0.553031	0.145842
0.02	0.0669643	-0.065247	0.404498	0.194297	-0.553031	0.145842
0.03	0.00171734	0.0249929	0.42955	0.194297	-0.553031	0.145842
0.04	0.0267103	-0.0305722	0.470146	0.194297	-0.553031	0.145842
0.05	-0.00386192	0.0157623	0.486375	0.194297	-0.553031	0.145842
0.06	0.0119004	-0.0156879	0.506066	0.194297	-0.553031	0.145842
0.07	-0.00378749	0.00954121	0.516331	0.194297	-0.553031	0.145842
0.08	0.00575372	-0.00842735	0.526535	0.194297	-0.553031	0.145842
0.09	-0.00267363	0.00562421	0.532763	0.194297	-0.553031	0.145842
0.1	0.00295058	-0.0046391	0.538261	0.194297	-0.553031	0.145842
0.11	-0.00168852	0.00326283	0.541935	0.194297	-0.553031	0.145842
0.12	0.00157431	-0.00258824	0.544964	0.194297	-0.553031	0.145842
0.13	-0.00101393	0.00187532	0.547096	0.194297	-0.553031	0.145842
0.14	0.000861384	-0.00145487	0.548787	0.194297	-0.553031	0.145842
0.15	-0.000593486	0.00107206	0.550012	0.194297	-0.553031	0.145842
0.16	0.00047857	-0.000821237	0.550962	0.194297	-0.553031	0.145842
0.17	-0.000342668	0.000610968	0.551663	0.194297	-0.553031	0.145842
0.18	0.0002683	-0.000464669	0.5522	0.194297	-0.553031	0.145842
0.19	-0.000196369	0.000347579	0.552599	0.194297	-0.553031	0.145842
0.2	0.00015121	-0.000263271	0.552902	0.194297	-0.553031	0.145842
0.21	-0.000112061	0.000197539	0.553129	0.194297	-0.553031	0.145842
0.22	8.54782e-05	-0.000149277	0.553301	0.194297	-0.553031	0.145842
0.23	-6.37987e-05	0.000112203	0.553431	0.194297	-0.553031	0.145842
0.24	4.84042e-05	-8.46779e-05	0.553528	0.194297	-0.553031	0.145842
0.25	-3.62737e-05	6.3711e-05	0.553601	0.194297	-0.553031	0.145842
0.26	2.74373e-05	-4.80457e-05	0.553657	0.194297	-0.553031	0.145842
0.27	-2.06084e-05	3.61696e-05	0.553698	0.194297	-0.553031	0.145842
0.28	1.55612e-05	-2.72646e-05	0.55373	0.194297	-0.553031	0.145842
0.29	-1.17034e-05	2.05318e-05	0.553753	0.194297	-0.553031	0.145842
0.3	8.82844e-06	-1.54731e-05	0.553771	0.194297	-0.553031	0.145842
0.31	-6.64468e-06	1.16543e-05	0.553785	0.194297	-0.553031	0.145842
0.32	5.00962e-06	-8.78166e-06	0.553795	0.194297	-0.553031	0.145842
0.33	-3.77205e-06	6.615e-06	0.553802	0.194297	-0.553031	0.145842
0.34	2.84295e-06	-4.98409e-06	0.553808	0.194297	-0.553031	0.145842
0.35	-2.14114e-06	3.75461e-06	0.553812	0.194297	-0.553031	0.145842
0.36	1.61347e-06	-2.8288e-06	0.553816	0.194297	-0.553031	0.145842
0.37	-1.21533e-06	2.13106e-06	0.553818	0.194297	-0.553031	0.145842
0.38	9.15726e-07	-1.60554e-06	0.55382	0.194297	-0.553031	0.145842
0.39	-6.89817e-07	1.20955e-06	0.553821	0.194297	-0.553031	0.145842
0.4	5.19731e-07	-9.11262e-07	0.553822	0.194297	-0.553031	0.145842
0.41	-3.91531e-07	6.86514e-07	0.553823	0.194297	-0.553031	0.145842
0.42	2.94983e-07	-5.17209e-07	0.553824	0.194297	-0.553031	0.145842
0.43	-2.22226e-07	3.8965e-07	0.553824	0.194297	-0.553031	0.145842
0.44	1.67424e-07	-2.93555e-07	0.553825	0.194297	-0.553031	0.145842
0.45	-1.26131e-07	2.21156e-07	0.553825	0.194297	-0.553031	0.145842
0.46	9.50254e-08	-1.66615e-07	0.553825	0.194297	-0.553031	0.145842
0.47	-7.15892e-08	1.25523e-07	0.553825	0.194297	-0.553031	0.145842
0.48	5.3934e-08	-9.45664e-08	0.553825	0.194297	-0.553031	0.145842
