
Current theta : [ 2.02181 , 0.407467 , -0.06949 ] 


t	x[0]	x[1]	P	theta[0]	theta[1]	theta[2]
0	0.2	0.276662	0.341382	2.02181	0.407467	-0.06949
0.01	0.476662	0.795412	1.26868	2.02181	0.407467	-0.06949
0.02	1.27207	2.35636	3.94649	2.02181	0.407467	-0.06949
0.03	3.62844	-10.3866	14.9486	2.02181	0.407467	-0.06949
0.04	-6.75812	647.068	662.052	2.02181	0.407467	-0.06949
0.05	640.31	-2.82844e+08	2.82845e+08	2.02181	0.407467	-0.06949
0.06	-2.82844e+08	2.42001e+25	2.42001e+25	2.02181	0.407467	-0.06949
0.07	2.42001e+25	-1.51576e+76	1.51576e+76	2.02181	0.407467	-0.06949
0.08	-1.51576e+76	3.72448e+228	inf	2.02181	0.407467	-0.06949
0.09	3.72448e+228	-inf	inf	2.02181	0.407467	-0.06949
0.1	-inf	-nan(ind)	nan	2.02181	0.407467	-0.06949
0.11	-nan(ind)	-nan(ind)	nan	2.02181	0.407467	-0.06949
0.12	-nan(ind)	-nan(ind)	nan	2.02181	0.407467	-0.06949
0.13	-nan(ind)	-nan(ind)	nan	2.02181	0.407467	-0.06949
0.14	-nan(ind)	-nan(ind)	nan	2.02181	0.407467	-0.06949
0.15	-nan(ind)	-nan(ind)	nan	2.02181	0.407467	-0.06949
0.16	-nan(ind)	-nan(ind)	nan	2.02181	0.407467	-0.06949
0.17	-nan(ind)	-nan(ind)	nan	2.02181	0.407467	-0.06949
0.18	-nan(ind)	-nan(ind)	nan	2.02181	0.407467	-0.06949
0.19	-nan(ind)	-nan(ind)	nan	2.02181	0.407467	-0.06949
0.2	-nan(ind)	-nan(ind)	nan	2.02181	0.407467	-0.06949
0.21	-nan(ind)	-nan(ind)	nan	2.02181	0.407467	-0.06949
0.22	-nan(ind)	-nan(ind)	nan	2.02181	0.407467	-0.06949
0.23	-nan(ind)	-nan(ind)	nan	2.02181	0.407467	-0.06949
0.24	-nan(ind)	-nan(ind)	nan	2.02181	0.407467	-0.06949
0.25	-nan(ind)	-nan(ind)	nan	2.02181	0.407467	-0.06949
0.26	-nan(ind)	-nan(ind)	nan	2.02181	0.407467	-0.06949
0.27	-nan(ind)	-nan(ind)	nan	2.02181	0.407467	-0.06949
0.28	-nan(ind)	-nan(ind)	nan	2.02181	0.407467	-0.06949
0.29	-nan(ind)	-nan(ind)	nan	2.02181	0.407467	-0.06949
0.3	-nan(ind)	-nan(ind)	nan	2.02181	0.407467	-0.06949
0.31	-nan(ind)	-nan(ind)	nan	2.02181	0.407467	-0.06949
0.32	-nan(ind)	-nan(ind)	nan	2.02181	0.407467	-0.06949
0.33	-nan(ind)	-nan(ind)	nan	2.02181	0.407467	-0.06949
0.34	-nan(ind)	-nan(ind)	nan	2.02181	0.407467	-0.06949
0.35	-nan(ind)	-nan(ind)	nan	2.02181	0.407467	-0.06949
0.36	-nan(ind)	-nan(ind)	nan	2.02181	0.407467	-0.06949
0.37	-nan(ind)	-nan(ind)	nan	2.02181	0.407467	-0.06949
0.38	-nan(ind)	-nan(ind)	nan	2.02181	0.407467	-0.06949
0.39	-nan(ind)	-nan(ind)	nan	2.02181	0.407467	-0.06949
0.4	-nan(ind)	-nan(ind)	nan	2.02181	0.407467	-0.06949
0.41	-nan(ind)	-nan(ind)	nan	2.02181	0.407467	-0.06949
0.42	-nan(ind)	-nan(ind)	nan	2.02181	0.407467	-0.06949
0.43	-nan(ind)	-nan(ind)	nan	2.02181	0.407467	-0.06949
0.44	-nan(ind)	-nan(ind)	nan	2.02181	0.407467	-0.06949
0.45	-nan(ind)	-nan(ind)	nan	2.02181	0.407467	-0.06949
0.46	-nan(ind)	-nan(ind)	nan	2.02181	0.407467	-0.06949
0.47	-nan(ind)	-nan(ind)	nan	2.02181	0.407467	-0.06949
0.48	-nan(ind)	-nan(ind)	nan	2.02181	0.407467	-0.06949
0.49	-nan(ind)	-nan(ind)	nan	2.02181	0.407467	-0.06949
0.5	-nan(ind)	-nan(ind)	nan	2.02181	0.407467	-0.06949
0.51	-nan(ind)	-nan(ind)	nan	2.02181	0.407467	-0.06949
0.52	-nan(ind)	-nan(ind)	nan	2.02181	0.407467	-0.06949
0.53	-nan(ind)	-nan(ind)	nan	2.02181	0.407467	-0.06949
